Land-area,Land type,Temperature,Rainfall,Phosphorus,Nitrogen,Rice,Water,Potassium,"Land, growth rate [%]","Percentage of total [%]","Total land per 100 people [ha /100 pers]","Agriculture land per 100 people [ha/100 pers]","Agriculture land per 100 agric people [ha/100 pers]",'Emma,F,20799'
"Arrondissement sous vent",Sandy Soil,0.547536,"1349.00","0.345.00",0.011752,"Sugar Raw Centrifugal","0.34567.00","5000.00","","","","","",,'Olivia,F,19674'
"Arrondissement du vent",Clay Soil,3.41E–07,"1159.00","0.3457.00",2.55E–05,Rice,"15500.00","17000.00","","","","","",,'Sophia,F,18490'
"Morobe",Silt Soil,3.86E–07,"34500.00","0.347.00",0.029733,Rice,"99300.00","334","0.00","","","","",,'Isabella,F,16950'
"Milne Bay",Alluvial soils,0.003139,"14000.00","0.3367.00",5.08E–07,"Cotton lint","8500.00","17000.00","0.00","","","","",,'Ava,F,15586'
"Manus",Black soils,0.001137,"2100.00","0.3467.00",0.01834,Rice,"36300.00","268","0.00","","","","",,'Mia,F,13442'
"Madang",Red soils,0.784625,"29000.00","0.3456.00",5.85E–05,Rice,"21000.00","290","0.00","","","","",,'Emily,F,12562'
"Gulf",Laterite soils,1.86E–06,"34500.00","0.3453.00",0.071873,"Cottonseed","23800.00","34000.00","0.00","","","","",,'Abigail,F,11985'
"Eastern Highlands",Desert soils,0.653187,"11200.00","0.02167.00",0.349257,"Molasses","6100.00","2120.00","0.00","","","","",,'Madison,F,10247'
"East Sepik",Mountain soils,0.105878,"42800.00","0.34787.00",0.000841,Rice,"22800.00","331","0.00","","","","",,'Charlotte,F,10048'
"Central",Saline soils,0.018042,"29500.00","0.31267.00",8.6E–06,"Margarine,8.6E–06,"1242","0.00","","","","",,'Harper,F,9564'
"Enga",Alkaline soils,1.547536,"12800.00","0.34567.00",1.011752,"Sugar Raw Centrifugal",1.011752,"11200.00","0.00","","","","",,'Sofia,F,9542'
"East New Britain",Peaty soils,3.41E–08,"15500.00","15500.00",2.55E–06,"Cotton lint",2.55E–06,"5200.00","0.00","","","","",,'Avery,F,9517'
"Western",Marshy soils,3.86E–08,"99300.00","99300.00",1.029733,"Molasses",1.029733,"3200.00","0.00","","","","",,'Elizabeth,F,9492'
"Western Highlands",Sandy Soil,1.003139,"8500.00","8500.00",5.08E–08,"Beer of barley",5.08E–08,"9400.00","0.00","","","","",,'Amelia,F,8727'
"West Sepik",Clay Soil,1.001137,"36300.00","36300.00",1.01834,"Wine",1.01834,"3560.00","0.00","","","","",,'Evelyn,F,8692'
"West New Britain",Silt Soil,1.784625,"21000.00","21000.00",5.85E–06,Rice,5.85E–06,"331","0.00","","","","",,'Ella,F,8489'
"Southern Highlands",Alluvial soils,1.86E–07,"23800.00","23800.00",1.071873,"Cottonseed",1.071873,"12266.00","0.00","","","","",,'Chloe,F,8469'
"Chimbu",Black soils,1.653187,"6100.00","6100.00",1.349257,Rice,1.349257,"268","0.00","","","","",,'Victoria,F,7955'
"Northern",Red soils,1.105878,"22800.00","22800.00",1.000841,Rice,1.000841,"17000.00","0.00","","","","",,'Aubrey,F,7589'
"New Ireland",Laterite soils,1.018042,"9600.00","9600.00",8.6E–07,"Beer of barley",8.6E–07,"41000.00","0.00","","","","",,'Grace,F,7554'
"Northern Solomons",Desert soils,2.547536,"9300.00","9300.00",2.011752,"Sugar Raw Centrifugal",2.011752,"200.00","0.00","","","","",,'Zoey,F,7358'
